File Name,Vessel Group (2018),Vessel Type (2018),AIS Vessel Code,AIS Ship & Cargo Classification,Validation Link
VesselTypeCodes2018.pdf,Not Available,0,0,"Not available or no ship, default",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=0&page=0
VesselTypeCodes2018.pdf,Other,1-19,1-19,Reserved for future use,https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=1&page=0
VesselTypeCodes2018.pdf,Other,20,20,"Wing in ground (WIG), all ships of this type",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=2&page=0
VesselTypeCodes2018.pdf,Tug Tow,21,21,"Wing in ground (WIG), hazardous category A",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=3&page=0
VesselTypeCodes2018.pdf,Tug Tow,22,22,"Wing in ground (WIG), hazardous category B",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=4&page=0
VesselTypeCodes2018.pdf,Other,23,23,"Wing in ground (WIG), hazardous category C",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=5&page=0
VesselTypeCodes2018.pdf,Other,24,24,"Wing in ground (WIG), hazardous category D",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=6&page=0
VesselTypeCodes2018.pdf,Other,25,25,"Wing in ground (WIG), reserved for future use",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=7&page=0
VesselTypeCodes2018.pdf,Other,26,26,"Wing in ground (WIG), reserved for future use",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=8&page=0
VesselTypeCodes2018.pdf,Other,27,27,"Wing in ground (WIG), reserved for future use",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=9&page=0
VesselTypeCodes2018.pdf,Other,28,28,"Wing in ground (WIG), reserved for future use",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=10&page=0
VesselTypeCodes2018.pdf,Other,29,29,"Wing in ground (WIG), reserved for future use",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=11&page=0
VesselTypeCodes2018.pdf,Fishing,30,30,Fishing,https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=12&page=0
VesselTypeCodes2018.pdf,Tug Tow,31,31,Towing,https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=13&page=0
VesselTypeCodes2018.pdf,Tug Tow,32,32,Towing: length exceeds 200m or breadth exceeds 25m,https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=14&page=0
VesselTypeCodes2018.pdf,Other,33,33,Dredging or underwater operations,https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=15&page=0
VesselTypeCodes2018.pdf,Other,34,34,Diving operations,https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=16&page=0
VesselTypeCodes2018.pdf,Military,35,35,Military operations,https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=17&page=0
VesselTypeCodes2018.pdf,Pleasure Craft/Sailing,36,36,Sailing,https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=18&page=0
VesselTypeCodes2018.pdf,Pleasure Craft/Sailing,37,37,Pleasure Craft,https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=19&page=0
VesselTypeCodes2018.pdf,Other,38,38,Reserved,https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=20&page=0
VesselTypeCodes2018.pdf,Other,39,39,Reserved,https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=21&page=0
VesselTypeCodes2018.pdf,Other,40,40,"High speed craft (HSC), all ships of this type",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=22&page=0
VesselTypeCodes2018.pdf,Other,41,41,"High speed craft (HSC), hazardous category A",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=23&page=0
VesselTypeCodes2018.pdf,Other,42,42,"High speed craft (HSC), hazardous category B",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=24&page=0
VesselTypeCodes2018.pdf,Other,43,43,"High speed craft (HSC), hazardous category C",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=25&page=0
VesselTypeCodes2018.pdf,Other,44,44,"High speed craft (HSC), hazardous category D",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=26&page=0
VesselTypeCodes2018.pdf,Other,45,45,"High speed craft (HSC), reserved for future use",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=27&page=0
VesselTypeCodes2018.pdf,Other,46,46,"High speed craft (HSC), reserved for future use",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=28&page=0
VesselTypeCodes2018.pdf,Other,47,47,"High speed craft (HSC), reserved for future use",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=29&page=0
VesselTypeCodes2018.pdf,Other,48,48,"High speed craft (HSC), reserved for future use",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=30&page=0
VesselTypeCodes2018.pdf,Other,49,49,"High speed craft (HSC), no additional information",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=31&page=0
VesselTypeCodes2018.pdf,Other,50,50,Pilot Vessel,https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=32&page=0
VesselTypeCodes2018.pdf,Other,51,51,Search and Rescue vessel,https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=33&page=0
VesselTypeCodes2018.pdf,Tug Tow,52,52,Tug,https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=34&page=0
VesselTypeCodes2018.pdf,Other,53,53,Port Tender,https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=35&page=0
VesselTypeCodes2018.pdf,Other,54,54,Anti-pollution equipment,https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=36&page=0
VesselTypeCodes2018.pdf,Other,55,55,Law Enforcement,https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=37&page=0
VesselTypeCodes2018.pdf,Other,56,56,Spare - for assignment to local vessel,https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=38&page=0
VesselTypeCodes2018.pdf,Other,57,57,Spare - for assignment to local vessel,https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=39&page=0
VesselTypeCodes2018.pdf,Other,58,58,Medical Transport,https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=40&page=0
VesselTypeCodes2018.pdf,Other,59,59,Ship according to RR Resolution No. 18,https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=41&page=0
VesselTypeCodes2018.pdf,Passenger,60,60,"Passenger, all ships of this type",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=42&page=1
VesselTypeCodes2018.pdf,Passenger,61,61,"Passenger, hazardous category A",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=43&page=1
VesselTypeCodes2018.pdf,Passenger,62,62,"Passenger, hazardous category B",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=44&page=1
VesselTypeCodes2018.pdf,Passenger,63,63,"Passenger, hazardous category C",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=45&page=1
VesselTypeCodes2018.pdf,Passenger,64,64,"Passenger, hazardous category D",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=46&page=1
VesselTypeCodes2018.pdf,Passenger,65,65,"Passenger, reserved for future use",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=47&page=1
VesselTypeCodes2018.pdf,Passenger,66,66,"Passenger, reserved for future use",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=48&page=1
VesselTypeCodes2018.pdf,Passenger,67,67,"Passenger, reserved for future use",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=49&page=1
VesselTypeCodes2018.pdf,Passenger,68,68,"Passenger, reserved for future use",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=50&page=1
VesselTypeCodes2018.pdf,Passenger,69,69,"Passenger, no additional information",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=51&page=1
VesselTypeCodes2018.pdf,Cargo,70,70,"Cargo, all ships of this type",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=52&page=1
VesselTypeCodes2018.pdf,Cargo,71,71,"Cargo, hazardous category A",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=53&page=1
VesselTypeCodes2018.pdf,Cargo,72,72,"Cargo, hazardous category B",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=54&page=1
VesselTypeCodes2018.pdf,Cargo,73,73,"Cargo, hazardous category C",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=55&page=1
VesselTypeCodes2018.pdf,Cargo,74,74,"Cargo, hazardous category D",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=56&page=1
VesselTypeCodes2018.pdf,Cargo,75,75,"Cargo, reserved for future use",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=57&page=1
VesselTypeCodes2018.pdf,Cargo,76,76,"Cargo, reserved for future use",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=58&page=1
VesselTypeCodes2018.pdf,Cargo,77,77,"Cargo, reserved for future use",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=59&page=1
VesselTypeCodes2018.pdf,Cargo,78,78,"Cargo, reserved for future use",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=60&page=1
VesselTypeCodes2018.pdf,Cargo,79,79,"Cargo, no additional information",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=61&page=1
VesselTypeCodes2018.pdf,Tanker,80,80,"Tanker, all ships of this type",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=62&page=1
VesselTypeCodes2018.pdf,Tanker,81,81,"Tanker, hazardous category A",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=63&page=1
VesselTypeCodes2018.pdf,Tanker,82,82,"Tanker, hazardous category B",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=64&page=1
VesselTypeCodes2018.pdf,Tanker,83,83,"Tanker, hazardous category C",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=65&page=1
VesselTypeCodes2018.pdf,Tanker,84,84,"Tanker, hazardous category D",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=66&page=1
VesselTypeCodes2018.pdf,Tanker,85,85,"Tanker, reserved for future use",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=67&page=1
VesselTypeCodes2018.pdf,Tanker,86,86,"Tanker, reserved for future use",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=68&page=1
VesselTypeCodes2018.pdf,Tanker,87,87,"Tanker, reserved for future use",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=69&page=1
VesselTypeCodes2018.pdf,Tanker,88,88,"Tanker, reserved for future use",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=70&page=1
VesselTypeCodes2018.pdf,Tanker,89,89,"Tanker, no additional information",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=71&page=1
VesselTypeCodes2018.pdf,Other,90,90,"Other Type, all ships of this type",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=72&page=1
VesselTypeCodes2018.pdf,Other,91,91,"Other Type, hazardous category A",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=73&page=1
VesselTypeCodes2018.pdf,Other,92,92,"Other Type, hazardous category B",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=74&page=1
VesselTypeCodes2018.pdf,Other,93,93,"Other Type, hazardous category C",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=75&page=1
VesselTypeCodes2018.pdf,Other,94,94,"Other Type, hazardous category D",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=76&page=1
VesselTypeCodes2018.pdf,Other,95,95,"Other Type, reserved for future use",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=77&page=1
VesselTypeCodes2018.pdf,Other,96,96,"Other Type, reserved for future use",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=78&page=1
VesselTypeCodes2018.pdf,Other,97,97,"Other Type, reserved for future use",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=79&page=1
VesselTypeCodes2018.pdf,Other,98,98,"Other Type, reserved for future use",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=80&page=1
VesselTypeCodes2018.pdf,Other,99,99,"Other Type, no additional information",https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=81&page=1
VesselTypeCodes2018.pdf,Other,100 to 199,100 to 199,Reserved for regional use,https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=82&page=1
VesselTypeCodes2018.pdf,Other,200 to 255,200 to 255,Reserved for future use,https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=83&page=1
VesselTypeCodes2018.pdf,Other,256 to 999,256 to 999,No designation,https://journaliststudio.google.com/pinpoint-extract/preview?collection=bf066a27bcf2f27a&job=ac52290bb2b9a3a8&docid=d979a8fc4f6f146b_bf066a27bcf2f27a&schid=8001&row=84&page=1
